dediac	original_gold	max_gold	max_gold_alt
#	#	#	
ثقافة	ثَقَافَةٌ	ثَقَافَةٌ	
			
فيلم	فِيلْمُ	فِيلْمُ	
جاذبية	جَاذِبِيَّةْ	جَاذِبِيَّةْ	
البريطانية	الْبِرِيطَانِيَّةُ	الْبِرِيطَانِيَّةُ	الْبْرِيطَانِيَّةُ
يتصدر	يَتَصَدَّرُ	يَتَصَدَّرُ	
ترشيحات	تَرْشِيحَاتِ	تَرْشِيحَاتِ	
جوائز	جَوَائِزِ	جَوَائِزِ	
الأكاديمية	الْأَكَادِيمِيَّةِ	الْأَكَادِيمِيَّةِ	
البريطانية	الْبِرِيطَانِيَّةِ	الْبِرِيطَانِيَّةِ	الْبْرِيطَانِيَّةِ
لفنون	لِفُنُونِ	لِفُنُونِ	
الفيلم	الْفِيلْمِ	الْفِيلْمِ	
والتلفزيون	وَالتِّلِفِزْيُونِ	وَالتِّلِفِزْيُونِ	وَالتِّلْفِزْيُونِ
			
أعلنت	أَعْلَنَتْ	أَعْلَنَتِ	
الأكاديمية	الْأَكَادِيمِيَّةُ	الْأَكَادِيمِيَّةُ	
لفنون	لِفُنُونِ	لِفُنُونِ	
الفيلم	الْفِيلْمِ	الْفِيلْمِ	
والتلفزيون	وَالتِّلِفِزْيُونِ	وَالتِّلِفِزْيُونِ	وَالتِّلْفِزْيُونِ
عن	عَنْ	عَنْ	
ترشيحاتها	تَرْشِيحَاتِهَا	تَرْشِيحَاتِهَا	
الرسمية	الرَّسْمِيَّةِ	الرَّسْمِيَّةِ	
لحفلها	لِحَفْلِهَا	لِحَفْلِهَا	
السابع	السَّابِعِ	السَّابِعِ	
والستين	وَالسِّتِّينَ	وَالسِّتِّينَ	
وتصدر	وَتَصَدَّرَ	وَتَصَدَّرَ	
هذه	هَذِهِ	هَٰذِهِ	
الترشيحات	التَّرْشِيحَاتِ	التَّرْشِيحَاتِ	
فيلم	فِيلْمُ	فِيلْمُ	
جاذبية	جَاذِبِيَّةْ	جَاذِبِيَّةْ	
إذ	إِذْ	إِذْ	
حصل	حَصَلَ	حَصَلَ	
على	عَلَى	عَلَى	
11	11	11	
ترشيحا	تَرْشِيحًا	تَرْشِيحًا	
وجاء	وَجَاءَ	وَجَاءَ	
بعده	بَعْدَهُ	بَعْدَهُ	
فيلم	فِيلْمُ	فِيلْمُ	
12	12	12	
سنة	سَنَةً	سَنَةً	
عبدا	عَبْدًا	عَبْدًا	
وفيلم	وَفِيلْمُ	وَفِيلْمُ	
الكفاح	الْكِفَاحِ	الْكِفَاحِ	
